"","CYFZ_PBMC","FY2H_PBMC","FLWA_PBMC","453W_PBMC","684C_PBMC","CZJE_PBMC","DZQV_PBMC","925L_PBMC","9JD4_PBMC","G4YW_PBMC","4DUY_PBMC","36TS_PBMC","CR3L_PBMC"
"5_8S_rRNA",0.36528,0.354296666666667,0.781696666666667,0.530291666666667,0.445078333333333,0.53517,0.557058333333333,0.635213333333333,0.562331666666667,0.89879,0.437526666666667,0.569001666666667,0.36613
"5S_rRNA",5.42783333333333,1.67265333333333,2.167591,0.838970333333333,3.07271333333333,2.67895666666667,5.50693333333333,1.05981333333333,0,0.92708,1.26608666666667,1.31127333333333,2.71645666666667
"7SK",0.135724285714286,0,0.550811428571429,1.04103428571429,0,0.997402857142857,1.85586842857143,0.133734857142857,0.62504,0.526671428571429,0.505731428571429,0.473492428571429,1.9181
"A1BG",3.620456,2.087283,3.764533,1.639494,3.264896,4.204664,3.817458,7.193748,7.536929,3.8876958,2.235442,1.997778,3.808482
"A1BG-AS1",9.49913,4.116586,5.10439,4.96349,10.23307,7.60249,7.095302,7.407794,9.3944105,6.499663,5.6820435,5.969403,4.954699
"A1CF",0.050216603,0.019484101,0.019354001,0.058010502,0.0387051,0.025382602,0.009200831,0.051683401,0.026586002,0.037384005,0.024634704,0,0
"A2M",36.639632,40.423367,42.562249,67.06031,22.891169,33.671085,44.335379,55.98437981,18.025644,26.9692806,24.77942,41.728036,39.621263
"A2M-AS1",3.92606,1.76982,4.36168,4.91429,2.76332,6.67462,4.43354,3.60954,2.95056,6.57057,3.58926,6.98946,5.69175
"A2ML1",0.3458694,0.34054,0.43981,0.6814147,0.826601,0.112187,0.290381,0.531572,0.650377,0.331782,0.279274,0.373607,0.96243
"A2ML1-AS2",0,0.569847,1.69764,0.628966,0,0,0.544131,1.58196,0,0,1.55617,0.591703,0
"A2MP1",1.421671,5.565961,1.63108,1.271256,2.52364,1.830614,7.275214,3.101604,0.855546,3.048306,3.050466,2.679067,0.955408
"A3GALT2",0,0,0,0,0,0,0,0,0,0,0.278014,0,0
"A4GALT",0,0,0,0,0,0,0,0,0,0,0,0.19439,0
"A4GNT",0,0,0,0,0,0,0,0.349199,0,0,0,0,0
"AAAS",66.777418,52.497461,70.819397,70.72343538,74.9208489,56.279657,69.71563812,53.018137,71.08375101,72.573925,65.57487,42.213253,46.31990995
"AACS",11.408508,13.302844,11.9525344,18.770588,18.764878,14.313486,10.468331,18.37658,11.7746996,13.74756,11.769908,10.608188,10.9012
"AACSP1",0.10427,0.0367488,0.132105,0.136981,0.200859,0.263064,0.0667348,0.25189,0,0.06391,0.0440934,0.0639633,0.260939
"AADACL2-AS1",0.402681,1.11609,0,0.744079,1.28124,0.667891,0.332665,1.78896,1.88029,1.4593,0,0,1.03092
"AADACL3",0,0,0.0475491,0,0,0,0,0,0.0219427,0,0,0.0460392,0
"AADACP1",0,0,0,0,0,0,0,0.187304,0,0,0,0,0
"AADAT",0.156144,0,0.147892,0,0.153696894,0.040632046,0.138971,0.415159837,0.273377,0.140318,0,0,0
"AAGAB",53.90044092,57.675161,45.985377,70.02239,68.62186,48.01179,38.876672,47.94251,44.429511,32.756612,45.63524,46.81439,43.25957
"AAK1",20.983931,25.815507,26.421972,23.53794,25.297126,26.15814,28.302937,25.980916,35.59625,23.433547,27.458923,23.721257,28.312647
"AAMDC",14.725077,10.581721,9.577439,11.698367,8.85085,9.408438,7.6212593,12.192697,9.444943486,12.166892,6.526244,8.36778,6.719532
"AAMP",126.84851,138.54376,153.844659,149.50304,155.38464,139.267503,143.27206,123.538941,127.490117,138.0151,148.302355,124.163825,130.88806
"AANAT",0.508949,0.68775,2.3978774,0.111836,2.070759,0.59351,0.294144,1.315652,0.624686,0,0.48052,0.640471,0.2221496
"AAR2",36.47566,43.58303,41.90292,47.68971,31.943464,41.57483,30.344874,36.314379,31.87875,32.31699,33.26352,39.51378,44.9853
"AARD",0.35251,0.70894,0.576112,0.678757,0.795783,1.983381,0.3443594,1.41728,0.461614,0.724406,0.440343,0.764103,1.846482
"AARS1",31.027717,23.887175,20.535528,27.6905,30.95356,22.674645,29.860268,29.197338,22.741684,24.53886,34.61077,17.488759,23.175182
"AARS2",9.24615,8.21295,7.13226,8.62853,6.9846,6.71069,5.660007,9.465616,6.85052,6.40205,9.327964,4.94361,7.22499
"AARSD1",36.51792,55.261551,52.934183,66.809367,50.728511,59.530112,33.536262,46.36418432,45.394331,44.750073,47.8725921,40.664494,66.726924
"AARSD1P1",0,0,0,0,0,0.489022,0,0,0,0.201385,0,0,0
"AASDH",9.069058077,11.5538,17.4036009,9.9120853,16.256174,10.657523,7.866999,7.734028,8.645908691,11.0032121,10.729853,6.88477633,12.058769
"AASDHPPT",35.691145,29.908105,38.5266255,24.99204,37.357837,29.62365,28.730413,31.712469,30.902773,40.41846,29.544187,16.645586,20.079322
"AASS",5.104481,3.86106,4.49934,6.134975,5.839072,5.739357,3.6523588,7.04234,5.13564389,1.65103,2.847332,1.695248,4.997287
"AATBC",8.97333,5.47484,6.821123,4.469641,4.239384,5.899127,6.00468,6.55463,12.1514,14.37649,8.658807,6.12581,5.341903
"AATF",67.191308,82.095749,79.75081,109.298333,78.990139,69.300319,58.13734,55.776739,51.84275676,50.980505,60.21646,67.80082,58.255631
