from,to,strength,direction
BTN2A2,RARA,0.803571429,0.591496599
BTN2A2,BTN3A1,1,0.696428571
CCR7,ICOS,0.946428571,0.595663265
CCR7,GPR18,0.892857143,0.621598639
CCR7,TCF7,0.901785714,0.980867347
CCR7,ZNF683,0.866071429,0.588095238
CD44,CAV1,0.830357143,0.951530612
CD44,FAS,0.714285714,0.557823129
CD44,PRNP,0.928571429,0.982142857
CD44,MSN,0.705357143,0.778401361
CD44,RAC2,0.919642857,0.849489796
FOXP1,MERTK,0.776785714,0.535119048
FZD8,IL15,0.75,0.567687075
FZD8,RARA,0.8125,0.777806122
FZD8,SKAP1,0.723214286,0.704081633
GATA3,SNAP23,0.785714286,0.701955782
HLA-DPA1,HLA-DPB1,0.919642857,0.93920068
HLA-DPA1,CD74,0.973214286,0.917091837
HLA-DPA1,HLA-DRA,1,0.883928571
HLA-DPA1,HLA-DOB,0.803571429,0.907312925
ICAM1,WNK1,0.821428571,0.713605442
ICAM1,MSN,0.857142857,0.567346939
ICAM1,RASGRP1,0.892857143,0.735544218
ICAM1,TGFB1,0.955357143,0.775510204
ICAM1,ZFP36L1,0.705357143,0.829761905
ICAM1,GPR183,0.875,0.590986395
IL1B,NFKBIZ,0.794642857,0.689455782
IL1B,LILRB4,0.821428571,0.501105442
IL1B,IL18R1,0.875,0.630272109
IL1B,TNF,0.973214286,0.973214286
IL6,NR4A3,0.991071429,0.74872449
IL6,BCL3,0.991071429,0.674744898
IRF1,TNFSF14,0.8125,0.756972789
IRF1,IDO1,0.821428571,1
IRF1,GBP1,1,0.982142857
IRF1,HLA-F,0.857142857,0.801445578
IRF1,B2M,0.982142857,0.875
IRF1,STAT1,0.9375,0.988095238
IRF1,TAPBP,0.839285714,0.905612245
JAK3,IL12RB1,0.901785714,0.831377551
JAK3,PTCRA,0.714285714,0.706037415
MYH9,TSC1,0.714285714,0.513180272
MYH9,NCK2,0.803571429,0.765901361
VSIR,TNFRSF1B,0.839285714,0.665561224
VSIR,ZFP36L2,0.8125,0.853061224
ADAM8,IL4R,0.928571429,0.943877551
ADAM8,ICOSLG,0.705357143,0.506802721
ADAM8,RAC2,0.714285714,0.673894558
ANXA1,HHLA2,0.723214286,0.78792517
ANXA1,TMEM131L,0.705357143,0.845068027
CBFB,EXOSC6,1,0.794642857
CD28,CRTAM,0.758928571,0.618877551
CD28,CCR4,0.964285714,0.727040816
DROSHA,PTGER4,0.758928571,0.618877551
HLA-DOA,HLA-DOB,0.857142857,0.681207483
NKAP,BTN2A2,0.723214286,0.606802721
NKAP,EXOSC6,0.803571429,0.519897959
NKAP,IDO1,0.821428571,0.813860544
NKAP,ATP7A,0.732142857,0.501870748
NKAP,ELF4,0.9375,0.552295918
NKAP,CD99L2,0.9375,0.631377551
NKAP,CACNA1F,0.848214286,0.62627551
ADAM10,SNAP23,0.848214286,0.553656463
ADAM17,FOXP1,0.714285714,0.633503401
ADAM17,HFE,0.875,0.673894558
ADAM17,RAG1,0.767857143,0.835969388
ADAM17,MAP3K7,0.776785714,0.880867347
ADAM17,SOS1,0.946428571,0.600340136
ADAM17,STARD7,0.732142857,0.807482993
CCR2,NOD2,0.928571429,0.619047619
CXCL13,CCR7,0.714285714,0.571428571
CXCL13,BANK1,0.723214286,0.764795918
CXCL13,GPR18,0.875,0.706420068
STK39,NFKBIZ,0.8125,0.759013605
STK39,CCR9,0.741071429,0.854761905
STK39,SH3RF1,0.982142857,0.823341837
STK39,KCNN4,0.705357143,0.719557823
STK39,SAMSN1,0.8125,0.841751701
STK39,PHPT1,0.785714286,0.598554422
AGER,VSIR,0.714285714,0.849829932
AGER,CAV1,1,0.973214286
AGER,RUNX1,0.767857143,0.76547619
AGER,GIMAP8,1,0.669642857
AGER,IL12A,0.723214286,0.667857143
CD24,DUSP10,0.8125,0.602380952
CD24,NCK2,0.875,0.69829932
CD24,STX7,0.946428571,0.658163265
CD24,MAP3K7,0.767857143,0.641241497
FADD,RELA,1,0.723214286
FADD,TMEM102,0.803571429,0.616071429
GPAM,SMAD7,0.848214286,0.701530612
HHLA2,XCL1,0.776785714,0.843112245
HHLA2,TGFBR2,0.75,0.515306122
HMGB1,CBFB,0.785714286,0.737840136
HMGB1,CD99L2,0.803571429,0.738180272
HMGB1,HSPH1,0.848214286,0.625680272
IGFBP2,MAPK8IP1,0.758928571,0.503486395
IL23A,MALT1,0.839285714,0.590731293
IL23R,IGKV1-9,0.723214286,0.663265306
CRTAM,FOXP3,0.741071429,0.510884354
CRTAM,EOMES,0.830357143,0.539540816
CRTAM,PTPN22,0.919642857,0.539115646
DOCK2,DOCK8,0.857142857,1
DOCK2,NCKAP1L,1,0.995535714
DOCK2,PTPRC,1,0.910714286
DOCK2,IKZF1,0.830357143,0.82202381
DOCK2,PIK3CG,0.901785714,0.970238095
DOCK8,IKZF1,0.714285714,0.511394558
DOCK8,SYK,0.910714286,0.735969388
SCRIB,CBFB,0.803571429,0.675595238
SCRIB,DGKZ,0.705357143,0.748469388
SCRIB,CYRIB,0.973214286,0.710459184
SCRIB,RPS3,0.776785714,0.643452381
SCRIB,RIPK2,0.919642857,0.62414966
SCRIB,VAMP3,0.723214286,0.685884354
SCRIB,PRR7,0.803571429,0.878316327
SCRIB,TRAF2,0.732142857,0.731802721
SCRIB,ZC3H8,0.732142857,0.819727891
APLF,GPI,0.714285714,0.797193878
APLF,IL15,0.767857143,0.774489796
APLF,HLA-A,0.758928571,0.530527211
APLF,PVR,0.741071429,0.744557823
APLF,DENND1B,0.857142857,0.596598639
APLF,ZMIZ1,0.758928571,0.656887755
APLF,MARCHF7,0.732142857,0.574404762
CD55,IGFBP2,0.75,0.570748299
CD55,DDOST,0.732142857,0.602295918
CD55,ZP3,0.732142857,0.552891156
CGAS,EXOSC3,0.928571429,0.931122449
CGAS,CYRIB,0.767857143,0.660289116
CGAS,JMJD6,0.866071429,0.642006803
CGAS,SMAP1,0.928571429,0.726530612
DNAJB9,CAPZA2,0.732142857,0.595918367
DNAJB9,IL1R1,0.794642857,0.807057823
DNAJB9,HSPH1,0.732142857,0.82670068
DNAJB9,SELENOK,0.991071429,0.900510204
GPI,G6PD,0.919642857,0.773809524
GPI,AP1S2,0.848214286,0.792517007
GPI,LOXL3,0.723214286,0.594302721
GPI,JAG2,0.8125,0.50042517
HFE,DUSP22,0.803571429,0.684693878
HFE,MICA,0.973214286,0.552295918
HFE,IL18,0.973214286,0.585459184
HFE,BTN3A1,0.9375,0.56164966
HFE,PPP2R3C,0.830357143,0.534268707
IGKC,IGKV1-17,0.901785714,0.988945578
IGKC,IGKV2D-28,0.919642857,0.951105442
IGKC,IGLV2-14,0.875,0.989795918
IGKC,TNFRSF13B,0.732142857,0.65085034
IGKC,PRDM1,0.839285714,0.754251701
IGKC,SELENOK,0.803571429,0.601955782
IGKC,IGKV1-6,0.973214286,0.991071429
IGKC,IGKV1-9,0.991071429,1
IGKC,IGLV1-40,0.883928571,0.991071429
IGKC,TNFRSF17,1,0.991071429
IGLV2-14,IGLV1-40,0.848214286,0.755952381
NR4A3,CD83,0.785714286,0.87414966
NR4A3,EGR3,1,0.946428571
NR4A3,SRF,0.830357143,0.951020408
NR4A3,ABL1,0.8125,0.701445578
NR4A3,PELI1,1,0.955357143
NR4A3,ZFP36,0.803571429,0.915816327
PKN1,GPI,0.9375,0.593112245
PKN1,SLC39A3,0.9375,0.715561224
PKN1,MAPK8IP1,0.705357143,0.697278912
TCIRG1,SCRIB,0.8125,0.55297619
TCIRG1,NFKBID,0.767857143,0.542346939
TCIRG1,RIPK3,0.732142857,0.830867347
TCIRG1,GNRH1,0.910714286,0.585459184
TCIRG1,PTPN6,0.75,0.877721088
ACVR1B,RAB5B,0.830357143,0.523044218
ACVR1B,IL27RA,0.767857143,0.513010204
ACVR1B,LMBR1L,0.973214286,0.676020408
ALAS2,SLC4A1,1,0.986607143
ATP5IF1,ISG15,0.794642857,0.790986395
ATP5IF1,PSME3,0.839285714,0.730187075
ATP5IF1,BCL10,0.705357143,0.841666667
ATP5IF1,TNFRSF14,0.883928571,0.716496599
ATP5IF1,RHOA,0.741071429,0.78664966
